"SITE","can500","imp500","X","Y","lc21","lc22","lc23","lc24","lc.forest","lc.ag"
"GOCHJOAMD1",16.058971,0,364368,4390314,0,0,0,0,0.203196347031963,0.796803652968037
"GOMEKARMD1",25.416563,13.195734,363034,4327992,0.377142857142857,0.236571428571429,0.024,0,0.096,0.209142857142857
"GOROCARDC1",54.257213,7.227101,321929,4316095,0.258581235697941,0.109839816933638,0.022883295194508,0,0.381006864988558,0.0869565217391304
"GOUGGREMD1",41.805519,8.363864,316574,4317512,0.428735632183908,0.15632183908046,0,0,0.229885057471264,0.0770114942528736
"HADDMARMD1",29.176914,0,359637,4295079,0,0,0,0,0.3398392652124,0.645235361653272
"HALLDEBVA1",19.23463,22.154329,318854,4294467,0.205949656750572,0.353546910755149,0.121281464530892,0.0308924485125858,0.161327231121281,0.121281464530892
"HAMIMARMD1",27.441696,2.181019,376028,4319064,0.0355504587155963,0.0194954128440367,0.00917431192660551,0.00114678899082569,0.172018348623853,0.294724770642202
"HAMMBARMD1",57.559509,1.530054,361021,4316362,0.051605504587156,0.0240825688073395,0.00229357798165138,0,0.535550458715596,0.0321100917431193
"HARWRANDC1",31.301128,25.713926,320731,4314515,0.284403669724771,0.465596330275229,0.118119266055046,0.00688073394495413,0.0722477064220183,0.00688073394495413
"HAWNJANVA1",17.092847,26.607276,315054,4303270,0.259174311926606,0.489678899082569,0.135321100917431,0.0126146788990826,0.0837155963302752,0.00802752293577982
"HEATSUEVA1",20.371393,25.434127,287443,4302738,0.163030998851894,0.477611940298507,0.140068886337543,0,0.187141216991963,0.0321469575200918
"HERBJOAMD1",48.938518,10.585947,372023,4329352,0.170285714285714,0.221714285714286,0.0137142857142857,0.00342857142857143,0.472,0.0285714285714286
"HIRSMUSDC1",0.664993,56.853199,324517,4306343,0.136467889908257,0.173165137614679,0.456422018348624,0.23394495412844,0,0
"HITCBJMD1",31.143228,13.592448,344359,4330586,0.155606407322654,0.361556064073227,0.0022883295194508,0,0.295194508009153,0.0652173913043478
"HOROBONVA1",63.491844,0.555834,297350,4309154,0.0274599542334096,0.0068649885583524,0,0,0.707093821510298,0.249427917620137
"HULLJEFVA1",28.311166,22.006273,320296,4299607,0.301605504587156,0.467889908256881,0.0688073394495413,0.00802752293577982,0.137614678899083,0.0160550458715596
"HUNTDAVMD2",27.311166,26.705144,326332,4316616,0.238258877434135,0.329896907216495,0.18098510882016,0.0171821305841924,0.131729667812142,0.0515463917525773
"HUNTMARMD1",28.860727,16.375156,366902,4326132,0.260869565217391,0.366132723112128,0.0377574370709382,0.0011441647597254,0.195652173913043,0.123569794050343
"HUTCBARVA1",39.897113,10.494354,317689,4286217,0.252571428571429,0.219428571428571,0.00571428571428571,0.00114285714285714,0.411428571428571,0.0948571428571429
"JACKALADC1",44.429107,21.31744,329772,4303603,0.130884041331803,0.451205510907003,0.0803673938002296,0.00114810562571757,0.336394948335247,0
"JACOAMYMD1",9.069986,0.409946,426034,4298423,0.0357142857142857,0.00238095238095238,0,0,0.0333333333333333,0.55
"JACOSYDMD1",22.159347,20.519447,329657,4320382,0.363428571428571,0.418285714285714,0.0777142857142857,0,0.118857142857143,0.0217142857142857
"JEWELIBMD1",40.805519,15.460476,317644,4314185,0.397701149425287,0.220689655172414,0.0482758620689655,0.0195402298850575,0.229885057471264,0.0436781609195402
"JOHNTHEMD1",9.535758,12.091593,385434,4374841,0.445589919816724,0.252004581901489,0.0206185567010309,0,0.0183276059564719,0.255441008018328
"JONECLAMD1",61.526657,1.221324,362426,4314089,0.0606407322654462,0.0205949656750572,0,0,0.40045766590389,0.062929061784897
